"watercut";"seamtop";"densityRR";"pressure";"conductivity";"Expected_Output";"NeuralNet_Output"
0.667900026;2142.523438;810.9379272;102.7009964;20.63920021;13.4458;0.999738648399989
0.798300028;2142.271973;905.7340088;268.2395935;154.1887054;6.4692;0.999971328373952
0.870700002;2151.270264;280.2781982;261.0758057;99.44670105;10.5648;0.999825848831538
0.783999979;2138.560303;397.2106934;242.839798;31.29990005;3.1467;0.999985674226664
0.334199995;2179.317139;519.6879883;123.5559006;15.2755003;7.579;0.999987968018281
0.865700006;2153.825684;474.7827148;213.2884979;122.1453018;8.24318;0.999987968018328
0.67110002;2157.795898;565.4221802;156.0453033;31.62730026;7.72674;0.999987968018317
0.796800017;2158.1521;667.5548706;213.8515015;42.48249817;15.5059;0.999944588576247
0.323900014;2135.395752;982.7506104;172.1920013;16.38479996;5.8964;0.999771737317162
0.88319999;2141.835205;533.8568726;100.7611008;96.52349854;8.7444;0.999987967936914
0.675800025;2165.337158;1167.557007;205.8520966;48.56230164;7.3946;0.999796343098516
0.915899992;2148.412598;295.6653137;201.0807037;56.70349884;8.642816;0.999825848831538
